sender,estimate_gamm_out,recorded_gamm_out,extra_gamm
osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,53175149563972712,79722336655144815,0.4992404780965276
osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,32661059365847,48967101873675,0.49925026390536775
osmo1fxh7fwq3tds2jn3ed357vxthcxhlc0hftupg4w,216782599368186160,325046526108182391,0.4994124392618777
osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,2817709856522586624,4225158431290551561,0.49950088775461654
osmo14gpkd030ru3xw6xykp7nl4dljckzrs0mtkw7xh,13898104334047245312,20840206646864544965,0.4994999422914608
osmo1m4k4rncdjtxvremn6j2gqgw4tcgk3kmztgsffs,860963452254990592,1290990514533657248,0.49947191271866664
osmo1jh8dac9hehaz7eud4qhcwf98ddleqhsn4vm5tr,11763121328399423488,17638883389160999654,0.499507052314071
osmo1h4w509ewf0wh6m3d9fqyak9z45m9lrqsy5r63n,54214368263749660,81276327289436270,0.49916580958818524
osmo1kusyp7jj00y2t4ymc6ygxvfl7wyga29rt2a9v3,50198172636789174272,50198172636788613716,-1.1213252548714081e-14
osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,53425593742569226240,80112789301562611779,0.4995208043467969
osmo1dyzwn3hqj8uhfmv2rge9um7n0f44fv9xfxt6nt,41752669794363577991168,62607968015603247042190,0.4994961597415033
osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,17512766142936600576,22755595250280157949,0.29937184477611156
osmo1kaxg4m0qf4pwekcpledsgen8cuelz9p0pn5nea,5564107896298167,5564108634743821,1.3271591203789512e-07
osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,19244115550758,28851614841028,0.49924348380310857
osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,16313352683,24457796662,0.49925016256696586
osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,827815837239304192,1241312573676067891,0.49950329268372107
osmo126yahr704qnjar6t7ykdvuq43yujvl4m5lx0xh,22313905874107602944,33459669663674207842,0.4994985571979049
osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,4064776765713731584,5281695819698322400,0.2993815218216327
osmo1lvgxhqamdq8j9a7853uap5lg9j3tafw5gvx06u,2665035092783541504,3996219792438884247,0.49949987647816085
osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,2995697014663112704,4492045397520364792,0.4994992402546181
osmo1n8j9xve22sh5arf2kfdtdde46udztadalmr7c2,49886906548006825984,74805431180092419193,0.4995002968986695
osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,666516456915262464,866075838010048967,0.29940653231336123
osmo1kmmqf8e4qqfq7gqfdj7qwk3sjrpt6cgzlh4zzy,1200586361132759808,1800288601441474372,0.49950779029581205
osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,4173795773528,6257563500183,0.49925004473653156
