block,sender,msg_type,pool_id,denom_1,original_amount_1,adjusted_amount_1,denom_2,original_amount_2,adjusted_amount_2,relative_extra_percent
4708830,osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,26291442,823,uosmo,206116254,6445,3.126760951429323e-05
4708832,osmo1lt3cmjpzsd7lga33mxngw7fq87f3p7pcs93573,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,841188,22781,uosmo,71817,1945,0.027080796520533516
4708841,osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1989500000,62207,uosmo,15596621606,487670,3.126760951429323e-05
4708847,osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,6317120492,479223,uosmo,5575033990,422928,7.586090193922045e-05
4708848,osmo1xcquwffc0efn34pazvlsrasvnu5ctunk2ph85y,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,1838518322,58437,uosmo,51677525,1643,3.178438324956435e-05
4708858,osmo1wde6kapm6w2ed338fe27s7763u2puykypp7sqk,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,46305778,3513,uosmo,40822281,3097,7.586090193922045e-05
4708867,osmo1uvxs9q40jl72q9p3jsx53zh65uksxtm6hw6xjh,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,8470314,266,uosmo,66425470,2079,3.1290735461888724e-05
4708891,osmo1a944h7gug7r2ad9l2usdm8zmm0mmxak9r0ltvj,/osmosis.gamm.v1beta1.MsgExitPool,712,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7249,9,uosmo,1936255,2250,0.001161524261945091
4708903,osmo1xczaaw2mlddu2f5jz05xg27cr9lku2kxun8tf6,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,9721398,743,uosmo,8534583,652,7.638667400636564e-05
4708904,osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,9405667,300,uosmo,73809965,2353,3.1868570877696604e-05
