block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2
4707558,osmo1sx2qexffa63d6hda8zt6zfx7gm0hvdkfwq83fe,690,/osmosis.gamm.v1beta1.MsgExitPool,1250495887778487758307097,49397834613399964841,1250446489943874358342256,1,84094718,6348595,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,2128846264817,84094955,uosmo,160713829866,6348613
4707564,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,605,/osmosis.gamm.v1beta1.MsgExitPool,834481517568344554597537271,27516196871722218251638,834454001371472832379285633,1,151994867849,6199803,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,4609536287920241,151994867849,uosmo,188020949330,6199803
4707583,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,704,/osmosis.gamm.v1beta1.MsgExitPool,446462674325671026874315,187887627182611375495,446274786698488415498820,1,1438162872534006355,2292831154,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3418217955588049544180,1438509639889749504,uosmo,5446969927476,2292281782
4707602,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,561,/osmosis.gamm.v1beta1.MsgExitPool,1704137603194410589632140,1386033123894789846,1704136217161286694842294,1,469832505,23528,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,577812786047731,469954808,uosmo,28921672660,23522
4707606,osmo1me8923arytjjtketusxcslvcz66fwyzlle6w96,631,/osmosis.gamm.v1beta1.MsgExitPool,1825937183584404344696569,3252769492852730328,1825933930814911491966241,1,8960,119206,ibc/297C64CC42B5A8D8F82FE2EBE208A6FE8F94B86037FA28C4529A23701C228F7A,5030026095,8960,uosmo,66916416184,119206
4707646,osmo1wu2rp75wqnh82wu3peh9ftqv36e030vj8lfq9d,9,/osmosis.gamm.v1beta1.MsgExitPool,1352407906399085020404623835,1107888986421239481334,1352406798510098599165142501,1,948356636,1477446,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,1157732867579437,948411708,uosmo,1803633491147,1477531
4707646,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,560,/osmosis.gamm.v1beta1.MsgExitPool,287607056856487692957461,168222721437941419786,287438834135049751537675,1,22085449729,176096921,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,37759056218801,22085449729,uosmo,301069420604,176096921
4707653,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,560,/osmosis.gamm.v1beta1.MsgExitPool,287438834135049751537675,168222721437941419785,287270611413611810117890,1,22084296446,176106135,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,37736970769072,22085449729,uosmo,300893323683,176096921
4707665,osmo16vypav8wwznpq4x0sgjv8k4l34urv5vg09xhyj,560,/osmosis.gamm.v1beta1.MsgExitPool,287270611413611810117890,10240863236301781833,287260370550375508336057,1,1344024718,10723952,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,37701781767674,1344024677,uosmo,300821952862,10723952
4707668,osmo1nqn4av0qmsqzy72q9d7yrm30khmjrjkg5dfjxt,5,/osmosis.gamm.v1beta1.MsgExitPool,10733612753416272485735891924,266980089424649714354995,10733345773326847836021536929,1,7907528570,10058553,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,317912656702767,7907528570,uosmo,404392003498,10058553
4707671,osmo18vln3u6et46gekr8wr2j9lexnhu52xce3qa05k,1,/osmosis.gamm.v1beta1.MsgExitPool,392587843585026692893282923,487754098894285822676,392587355830927798607460247,1,6614254,51637998,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5330293512023,6622396,uosmo,41511734979974,51574492
