block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,denom_3,amount_3,denom_4,amount_4
4710178,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,150435578558341680762,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,4069243,uosmo,1097042394,,,,
4710181,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,225559912836850893331,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,6100567,uosmo,1644674604,,,,
4710185,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,338240360730109374260,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,9146430,uosmo,2465819957,,,,
4710190,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,507143471736979663668,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,13709878,uosmo,3696102423,,,,
4710194,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,760413631407389537355,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,20547932,uosmo,5539601530,,,,
4710198,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,1140121867608070572990,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,30788730,uosmo,8300507161,,,,
4710202,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,1709351954024531553700,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,46116658,uosmo,12432849359,,,,
4710760,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,722,3541009090983540000,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,394075981958565997,uosmo,665495,,,,
4711050,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1ugg4nh0vgmqwvkvkjaw745hh70j5aae6y7m6ux,1,255873235643457301655,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3445541,uosmo,27278897,,,,
4711845,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10rgny3xd5fvg02wnmy4h9zuktnfthvrlwdjwf5,1,443885444433635476418,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5983822,uosmo,47270597,,,,
4711986,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1wh0ch7eefffw9p8v6ct39esn9cc9vaew9evj4n,1,74109408209546078020,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,999017,uosmo,7892241,,,,
4712107,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,71228230119129885809,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1934630,uosmo,514302246,,,,
4712115,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,106806329537411209570,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2900794,uosmo,771147301,,,,
4712138,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,267131651491425615816,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7253182,uosmo,1928647997,,,,
4712144,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,400548724638426119038,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,10873293,uosmo,2891253538,,,,
4712158,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,600589199167315382430,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16297055,uosmo,4334023931,,,,
4712163,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,900507344559455890238,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,24423078,uosmo,6495058616,,,,
4712168,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,1350139890966610963227,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,36590214,uosmo,9730779330,,,,
