block,sender,pool_id,msg_type,original_pool_shares_previous_height,recorded_share_out,adjustment_share_out,extra_amount_percent
4707673,osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199503051560764660031,36104390509989905,24082335489487988.000000,2.7199458588049673e-07
4707674,osmo15qtsn35ggl0dmm6qcxv3445pwa3gh5t5hpkwjm,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968586039488259466386611,99528767658404127,66379538556997192.000000,1.1166671716271873e-08
4707674,osmo1q4edn2j8gewak9rctjeyw9nntwv4wwj36nyv8y,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672246514411724583583107,120571004635771009266,80419105374835392512.000000,3.7996506192639714e-07
4707675,osmo1k0lf96eev5zuqwdjtalzsu6ugqjjj7ynymkze7,712,/osmosis.gamm.v1beta1.MsgJoinPool,594315654835171231720451,49876734106398455,33266790686192820.000000,2.7948008939809984e-08
4707678,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,648,/osmosis.gamm.v1beta1.MsgJoinPool,293604390666688684048145411,62869433264612743741,41927068317155483648.000000,7.132846834371434e-08
4707678,osmo1rysg5xsecpa2gqdxv2kr00dqys63gt8eekg0d2,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199539155951274649936,223434620074885035,149035267029942528.000000,1.6832352775459672e-06
4707678,osmo1g659w4l93h7f6ljmcn95m0ygxzq4nq4vfx03qc,619,/osmosis.gamm.v1beta1.MsgJoinPool,329271851097350022826587,6194276468031243,4130934242658913.500000,6.266378683658871e-09
4707679,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,578,/osmosis.gamm.v1beta1.MsgJoinPool,696041425712240421383,7291750408602970,4864340148822043.000000,3.487341101150707e-06
4707680,osmo16vypav8wwznpq4x0sgjv8k4l34urv5vg09xhyj,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352564341463541887224066358,16673276261952145980928,11119271664830163976192.000000,4.106125598070695e-06
4707680,osmo1gwg4xrru3gtls2z9syretn7zquxc4a8agu9pt0,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738478156875265583999634,868761362986240794,579373286697765248.000000,1.6646032681070994e-07
4707681,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,577,/osmosis.gamm.v1beta1.MsgJoinPool,1912168247572349027781,834215254806,556531001770.091187,1.452195710416753e-10
4707681,osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199762590571349534971,39455758923463717,26317763849920156.000000,2.972405072475158e-07
4707682,osmo19jtn9xx65x5q5z5d5k2egkk2h25a9pqfxtr2jl,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199802046330272998688,32712673965369574,21819994135458120.000000,2.4644127608456904e-07
4707683,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,712,/osmosis.gamm.v1beta1.MsgJoinPool,594316611010798022255896,71363418704462892370,47597982410559455232.000000,3.9973421267083654e-05
4707684,osmo14mz27u8mqdhh5wqpv6qkxkcvalxw2gxejjrxx4,712,/osmosis.gamm.v1beta1.MsgJoinPool,594387974429502485148266,5077907638930670035,3386863506094226944.000000,2.8449444217439674e-06
4707685,osmo10zw447gf2dyr5suraf4ddmuutznwtlwr6p2kpk,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968586328714855977194967,237558216625913624,158436652749209472.000000,2.665293715766544e-08
4707685,osmo1597ul4wuad2kftqapd8w3733350zl3pwr8e9eq,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738479025636628570240428,16127890334570480612,10755622002482180096.000000,3.090125699319857e-06
4707689,osmo1jmcqdyh9auemdr35xnqsywpagd9ty3yxqqgh55,701,/osmosis.gamm.v1beta1.MsgJoinPool,193561789204992055654591,1500740510289613541,1000848578051497856.000000,2.582536040333307e-06
4707692,osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,648,/osmosis.gamm.v1beta1.MsgJoinPool,293604453536121948660889152,1231254788019103160695,821112915012686577664.000000,1.3969022088006703e-06
4707692,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,578,/osmosis.gamm.v1beta1.MsgJoinPool,696048717462649024353,79722336655144815,53182917848092704.000000,3.811556309764865e-05
4707692,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,604,/osmosis.gamm.v1beta1.MsgJoinPool,348570129149378251207,48967101873675,32661221180958.921875,4.677932057349342e-08
4707692,osmo1fxh7fwq3tds2jn3ed357vxthcxhlc0hftupg4w,712,/osmosis.gamm.v1beta1.MsgJoinPool,594393375553512001558822,325046526108182391,216799574812734816.000000,1.821130214341274e-07
4707692,osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738500220606970947390475,4225158431290551561,2817740327149367808.000000,8.095528656732248e-07
4707693,osmo14gpkd030ru3xw6xykp7nl4dljckzrs0mtkw7xh,641,/osmosis.gamm.v1beta1.MsgJoinPool,22141473742788181376497008,20840206646864544965,13898224081485103104.000000,3.1352759218402275e-07
4707695,osmo1m4k4rncdjtxvremn6j2gqgw4tcgk3kmztgsffs,712,/osmosis.gamm.v1beta1.MsgJoinPool,594393960716655282331603,1290990514533657248,861065023488417664.000000,7.232958534329954e-07
4707695,osmo1jh8dac9hehaz7eud4qhcwf98ddleqhsn4vm5tr,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672367085431707029281414,17638883389160999654,11764878514967025664.000000,5.5586924868963195e-08
4707695,osmo1h4w509ewf0wh6m3d9fqyak9z45m9lrqsy5r63n,712,/osmosis.gamm.v1beta1.MsgJoinPool,594393960716655282331603,81276327289436270,54209695484719392.000000,4.553650016650614e-08
4707697,osmo1kusyp7jj00y2t4ymc6ygxvfl7wyga29rt2a9v3,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738504445765402237942036,50198172636788613716,33476949489129914368.000000,9.617331604189962e-06
4707697,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,605,/osmosis.gamm.v1beta1.MsgJoinPool,834454322361133919211088683,80112789301562611779,53427730410344275968.000000,3.197904365141009e-08
4707698,osmo1dyzwn3hqj8uhfmv2rge9um7n0f44fv9xfxt6nt,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352581014739803839370047286,62607968015603247042190,41752742161244728852480.000000,1.541669428863013e-05
4707698,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567917271696002462482702,22755595250280157949,17192372296162766848.000000,3.5734964383899115e-07
4707699,osmo1kaxg4m0qf4pwekcpledsgen8cuelz9p0pn5nea,629,/osmosis.gamm.v1beta1.MsgJoinPool,611990253762702701215,5564108634743821,3711282155372813.500000,3.027459801090584e-06
4707700,osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,604,/osmosis.gamm.v1beta1.MsgJoinPool,348570178116480124882,28851614841028,19244123864664.617188,2.7562566138594787e-08
4707702,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,604,/osmosis.gamm.v1beta1.MsgJoinPool,348570206968094965910,24457796662,16313432402.785347,2.3365061312437444e-11
4707705,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,712,/osmosis.gamm.v1beta1.MsgJoinPool,594395484210194231454704,1241312573676067891,827930823949509120.000000,6.954614703575895e-07
4707705,osmo126yahr704qnjar6t7ykdvuq43yujvl4m5lx0xh,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588380372953234207602084,33459669663674207842,22315016327322886144.000000,2.838762184976294e-08
4707707,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567940027291252742640651,5281695819698322400,3990441906204241408.000000,8.294303031251572e-08
