block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares
4707692,osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737652927575233529472229,1408132478357903881,1737651519442755171568348
4707693,osmo14gpkd030ru3xw6xykp7nl4dljckzrs0mtkw7xh,641,/osmosis.gamm.v1beta1.MsgJoinPool,22140258058728682155154942,6942482822805736645,22140251116245859349418297
4707695,osmo1m4k4rncdjtxvremn6j2gqgw4tcgk3kmztgsffs,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519959790393000093409,431384743441448800,592519528405649558644609
4707695,osmo1jh8dac9hehaz7eud4qhcwf98ddleqhsn4vm5tr,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672206342336526804256540,5875705630421924582,105672200466630896382331958
4707695,osmo1h4w509ewf0wh6m3d9fqyak9z45m9lrqsy5r63n,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519528405649558644609,27147423067926670,592519501258226490717939
4707697,osmo1kusyp7jj00y2t4ymc6ygxvfl7wyga29rt2a9v3,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737651519442755171568348,12310369170674260,1737651507132386000894088
4707697,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,605,/osmosis.gamm.v1beta1.MsgJoinPool,834454322361133919211088683,26684970356737894467,834454295676163562473194216
4707698,osmo1dyzwn3hqj8uhfmv2rge9um7n0f44fv9xfxt6nt,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352401903347192154262075366,20858061074352091123342,1352381045286117802170952024
4707698,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567917271696002462482702,5242797834565172989,15567912028898167897309713
4707699,osmo1kaxg4m0qf4pwekcpledsgen8cuelz9p0pn5nea,629,/osmosis.gamm.v1beta1.MsgJoinPool,611990253762702701215,-247,611990253762702701462
4707700,osmo1kyqydg0tmq9ll9yya9vmncyl623mkgx4jq52v0,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560331085317475892,9607768474640,348560321477549001252
4707702,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560321477549001252,8142240338,348560321469406760914
4707705,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519652484923616747522,414785237596070707,592519237699686020676815
4707705,osmo126yahr704qnjar6t7ykdvuq43yujvl4m5lx0xh,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587662895794518680551262,11145741378919038562,392587651750053139761512700
4707707,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567912028898167897309713,1216876580284524512,15567910812021587612785201
4707707,osmo1lvgxhqamdq8j9a7853uap5lg9j3tafw5gvx06u,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969273176250346933274265,1331225795489309591,2969271845024551443964674
4707710,osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250308147896461726308211,1496356525163290872,1250306651539936563017339
4707710,osmo1n8j9xve22sh5arf2kfdtdde46udztadalmr7c2,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672273886549664376212907,24918552741379927161,105672248967996922996285746
4707710,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567910812021587612785201,199529817765480871,15567910612491769847304330
4707710,osmo1kmmqf8e4qqfq7gqfdj7qwk3sjrpt6cgzlh4zzy,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519237699686020676815,601580890123067076,592518636118795897609739
4707716,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560321469406760914,2083824432772,348560319385582328142
4707720,osmo1n0veljq6jx2u5dxwyfsuye2hwsr0ssl9z5adpu,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969272171297448165367453,41931212723708702,2969272129366235441658751
4707722,osmo1fnf8fvnyuw20jse47a53ue59pdzp8q254qfrdp,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519382428697216661555,204591334971685831,592519177837362244975724
4707728,osmo12vghx05jf5e2sxgfkdhktl3ch0e2k9ae3uxqm4,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519209464941756207012,2118484840636797,592519207346456915570215
4707729,osmo17j675mzjnf5ud7ynphf9xp2ra8jzg3zylhlkte,629,/osmosis.gamm.v1beta1.MsgJoinPool,611990716431230109137,4266579933896958,611986449851296212179
4707732,osmo10sp2ean8c8j5pnsyaccea5f6h5hpjhl24ntk4d,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587656556972595836435013,5319272970157883632,392587651237699625678551381
4707732,osmo18ugyzt4fe22yqp6jmamt0zfjm5tpul7cmxej8d,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587651237699625678551381,1515529934016415892,392587649722169691662135489
4707732,osmo1gqeq49wq0eefzlxp8gctuvmc7apauhayzhdxs8,498,/osmosis.gamm.v1beta1.MsgJoinPool,485044062601513303275446,288107209025135361,485043774494304278140085
4707732,osmo13lucu9nssvvngazwqs0vcy6e4my87lqtfjrrwf,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737666894246926334194014,129251202482352833481,1737537643044443981360533
4707732,osmo1r8xvgh0he0h7rjar3saucpmt303t0qy24lyj39,704,/osmosis.gamm.v1beta1.MsgJoinPool,446275873829433242426989,1875199688386901,446275871954233554040088
4707732,osmo1cyplugff6n0w7mje34ezp6m2g0cvk7hnjtxaw0,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352381045286117802170952024,211774789469308439593,1352380833511328332862512431
4707733,osmo13t2nzrdtdqrgfq2hnq45rqxra3hfjqqucdg2py,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352380833511328332862512431,9738395918550186647,1352380823772932414312325784
4707739,osmo1ju3vys9l5d4fa6f22l9z4q9rdlfnr6mtvfrkel,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197751947929245231816,32304880844173720,44197719643048401058096
4707740,osmo1va2xq5d9lj5v8aakxawgne3chn9phzwllw8h74,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519671387933812851859,95106357778619315,592519576281576034232544
