block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,estimated_gamm,extra_gamm,ratio
4712790,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,663373239633532337761032,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5747001105,uosmo,47057628335,442438107073442257829888,220935132560090079931144,0.499358280916377
4712795,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,29685478386628872983,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,101177429,uosmo,87994960,19796928895307800576,9888549491321072407,0.49949916694729457
4712802,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,678,6747106953126032298,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,22968410,uosmo,20024210,4499571779902421248,2247535173223611050,0.49949979312750337
4712802,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,44459480825834605573,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,151348352,uosmo,131947801,29649539281722861568,14809941544111744005,0.4994998877854797
4712803,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,496176624241890065130629,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4295037597,uosmo,35184636746,330918063292988883206144,165258560948901181924485,0.4993941983837378
4712807,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ew4ezkyx96zwey29s37qpzsv9pg3fjnmr82xd6,678,4620564336886051931,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,15729142,uosmo,13712958,3081403721991384064,1539160614894667867,0.49949982337918764
4712809,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,66666976317425546172,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,226944743,uosmo,197855469,44459526055659859968,22207450261765686204,0.4994981330651993
4712811,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo14hvjc5cs3g0vlt94zhdql9ja9gmacsjcau9svg,601,79918478260942492,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,3872568,uosmo,1160681,53305647213917284,26612831047025208,0.4992497500354336
4712813,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,678,14688055426517344140,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,49999988,uosmo,43591122,9795304776624486400,4892750649892857740,0.4994995828581992
4712819,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,99966581332360793753,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,340298200,uosmo,296680719,66666734328298958848,33299847004061834905,0.4994971981089913
4712820,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,2,98729344841640765753268,uion,200000,uosmo,40292948,82330145516325309513728,16399199325315456239540,0.1991882708632362
4712823,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo13uscwym07zp2vtcuv62hwvuffxe6nxu5mw8e92,3,3386504981020321851,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,73575,uosmo,22545,2258434314864551168,1128070666155770683,0.4994923512855969
4712829,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,678,57291441642749978931,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,194916762,uosmo,170121708,38207071124691677184,19084370518058301747,0.4994983901219492
4712830,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1y6urn3hs08gav8ymzz79kfnx2awz9hwxaywd83,9,1999911670747240108711,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,1142036010,uosmo,1775536,1333719129759564955648,666192540987675153063,0.49949987679022967
4712832,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,729,9340655607712803,ibc/2716E3F2E146664BEFA9217F1A03BFCEDBCD5178B3C71CACB1A0D7584451D219,1500049,uosmo,25094,6229208646123185,3111446961589618,0.4994931360223518
4712833,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,149793445836301649721,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,509624360,uosmo,444795913,99895875152701276160,49897570683600373561,0.49949580608134947
4712833,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1awvr6yq3v5v4z625elhphet4yj20954huct8az,678,148360740231191502264,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,504741552,uosmo,440534238,98938753680143466496,49421986551048035768,0.499521013887269
4712835,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,371610983155898510715016,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3215000000,uosmo,26342901974,247836341742911140921344,123774641412987369793672,0.4994208700085756
4712836,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,662,1626756938815968377,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,137357710858,uosmo,1140464,1084694665625008448,542062273190959929,0.49973719828208063
4712838,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1n24v7sn7zuwrxdnc67udu8gprsaw8ewjrftgp3,722,65162259261534197129,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,4923122738716519283,uosmo,7989753,43456091907743969280,21706167353790227849,0.49949653548855233
4712839,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,224629626017366517624,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,764197852,uosmo,667000000,149803646643566313472,74825979373800204152,0.4994937109364006
4712839,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,557288378439647848323237,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4820094525,uosmo,39493095665,371678943758581688696832,185609434681066159626405,0.49938108627866185
4712842,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,701,2402800492014246970,ibc/67C89B8B0A70C08F093C909A4DD996DD10E0494C87E28FD9A551697BF173D4CA,238673654,uosmo,15002,1602402230581937536,800398261432309434,0.4994989685839568
4712844,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,704,4284086049627434958,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,32014949074097898,uosmo,50951140,4284086049627458304,-23346,-5.440092820663267e-15
4712844,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1tkex2dk49l8xncsra03x536yhqpa0gja9vczu0,601,12685270477533202,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,614684,uosmo,184232,8461083986597064,4224186490936138,0.49924885483083936
4712844,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,835118903137172027550381,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7220036093,uosmo,59155924278,556997976318426245758976,278120926818745781791405,0.49932125185989684
4712846,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,336808371058664395309,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1145891133,uosmo,1000000000,224615197945919832064,112193173112744563245,0.4994905693770424
4712848,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,690,1444441479218798829,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,1500000,uosmo,126146,963282425243465664,481159053975333165,0.4994994628431244
4712849,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ex7v2j98m0lxr5h6ecdmky9tvxep4fah4hkuzt,604,3939925299773497,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,535713272,uosmo,15252480,2627932480855772,1311992818917725,0.4992490592796668
4712851,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo16jx06e73tt4daypk9ec5mlu8v924qaf3uehpcx,601,39102552177961202,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,1894770,uosmo,567899,26081427735583182,13021124442378020,0.4992489128428026
4712852,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,678,73484735132735422359,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,250010473,uosmo,218160771,49006226068568301568,24478509064167120791,0.4994979419536896
4712853,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,504894281378515978425,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1717753782,uosmo,1498926829,336711599323884191744,168182682054631786681,0.4994858579043373
4712854,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,578,1054218164615670019,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,432052300,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,3911580061,703222390387210112,350995774228459907,0.4991248558442425
4712857,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1lp2zgsufem4y52needwx0zvjggl80njk3efzuw,641,2046335305523784289,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,809566,uosmo,21595,1364679087640094592,681656217883689697,0.4994992771981732
4712858,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,3,46216274321328911815,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,1003192,uosmo,307950,30821158596166064128,15395115725162847687,0.49949828060901935
