block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2,adjustment_ratio
4712175,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,555739114359371030261362,43280054807544416,555739071079316222716946,0,1755,467354,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16721893930,585,uosmo,4452970091014,155639,1.4992950350061718
4712180,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,554524519627802078188788,63622427807105296,554524456005374271083492,0,2581,687019,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16721890766,860,uosmo,4452971246653,228791,1.4992950350061718
4712182,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,554524399212282300067734,2023875507175579975680,552500523705106720092054,0,81967091,21817880271,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16721891626,27296670,uosmo,4452971475444,7265787614,1.4992950350061718
4712186,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,552500598240954810300269,94081563742600608,552500504159391067699661,0,3810,1014222,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16749094562,1269,uosmo,4460263335988,337757,1.4992950350061718
4712191,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,550631561143872307822362,3033473374774401957888,547598087769097905864474,0,122542267,32618121656,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16749099580,40809010,uosmo,4460263673745,10862482577,1.4992950350061718
4712198,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,547596331919645587483907,140264519628487040,547596191655125958996867,0,5673,1506245,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16817984327,1890,uosmo,4463787660491,501610,1.4992950350061718
4712206,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,546198113457634857607325,2252888435598957215744,543945225022035900391581,0,90664413,24226443880,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16759178795,30193051,uosmo,4479485020800,8067887149,1.4992950350061718
4712211,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,541816002386562105361688,3382256488548301537280,538433745898013803824408,0,135732235,36269019752,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16789371846,45201532,uosmo,4487552907949,12078304179,1.4992950350061718
4712218,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,538433745898013803824408,208940879314408192,538433536957134489416216,0,8404,2235318,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16872049096,2799,uosmo,4489693015226,744406,1.4992950350061718
4712223,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,536812647782534779726623,2519985993737989783552,534292661788796789943071,0,101153721,26903117768,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16872051895,33686199,uosmo,4489693759632,8959272735,1.4992950350061718
4712228,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,531822556787861756812818,3782540432564263321600,528040016355297493491218,0,151357355,40255412229,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16905738094,50405007,uosmo,4498653032367,13405852077,1.4992950350061718
4712230,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,528040016355297493491218,312566246415636992,528039703789051077854226,0,12507,3326463,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16956143101,4166,uosmo,4512058884444,1107779,1.4992950350061718
4712234,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,524254914171769130488626,5667153328182184116224,518587760843586946372402,0,225709911,60030419534,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16956147267,75165885,uosmo,4512059992223,19991322404,1.4992950350061718
4712235,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,518587796193322659153840,467404691631778048,518587328788631027375792,0,18615,4951075,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17031313152,6200,uosmo,4532051814627,1648807,1.4992950350061718
4712246,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,515680586215388776765623,701720091416306304,515679884495297360459319,0,27989,7422298,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17054774029,9321,uosmo,4525931460417,2471773,1.4992950350061718
4712248,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,515679148736604833934343,4210374084319420350464,511468774652285413583879,0,167153706,44432014812,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17035868390,55665506,uosmo,4530965911950,14796743719,1.4992950350061718
4712252,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,507009601564951951637812,6311837049684130529280,500697764515267821108532,0,249280701,66262640687,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17091532336,83015427,uosmo,4545763071211,22066775871,1.4992950350061718
4712254,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,500697764515267821108532,1053968089608682880,500696710547178212425652,0,41625,11064719,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17174547763,13862,uosmo,4567829847082,3684772,1.4992950350061718
4712261,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,500698407298572183460768,1576052303116886528,500696831246269066574240,0,62166,16566374,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17154999316,20703,uosmo,4573090425093,5516932,1.4992950350061718
4712265,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,500695678109687094555090,1576053570320199168,500694102056116774355922,0,62365,16513846,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17155006048,20769,uosmo,4573099672534,5499439,1.4992950350061718
4712269,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,500691804394921365341677,3140301866470143488,500688664093054895198189,0,123931,32992499,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17169011546,41272,uosmo,4569480642517,10987158,1.4992950350061718
4712271,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,704,/osmosis.gamm.v1beta1.MsgExitPool,444937573075855066001203,1095746913021672030208,443841826162833393970995,0,12670037084944849536,19811887699,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3463291513682018030406,4219826787715150464,uosmo,5364543704736,6598460121,1.4993753574509938
4712275,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,500685217441495496167262,4710571245655795712,500680506870249840371550,0,185878,49495722,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17161224827,61902,uosmo,4571579201478,16483059,1.4992950350061718
